episode/count,episode/length,episode/return,eval/max_return,eval/mean_length,eval/mean_return,eval/min_return,eval/std_return,eval/step,loss/entropy,loss/policy,loss/value,step,time/elapsed_sec,time/fps
2911,77.76923076923077,285.2269235639857,,,,,,,6.6709708094596865,-0.07709893728606403,360.6216766357422,134000,129.2096266746521,1037.07443050981
2924,76.0,347.29292774055335,,,,,,,,,,135000,129.8477656841278,1039.67903713034
2937,75.92307692307692,344.3912716338155,,,,,,,6.666877257823944,-0.07689888307359069,526.4281349182129,136000,130.6278851032257,1041.1253301125491
2951,71.42857142857143,336.250987642716,,,,,,,,,,137000,131.25893592834473,1043.7384626886612
2964,74.61538461538461,332.34693409177186,,,,,,,6.657852041721344,-0.07842849232256413,352.37964859008787,138000,132.30061149597168,1043.0790790729025
2978,73.71428571428571,319.65457544217907,,,,,,,,,,139000,133.2906849384308,1042.8335638323597
2991,71.92307692307692,321.6074465802068,,,,,,,6.65144921541214,-0.07455656345118769,354.3535888671875,140000,134.43129968643188,1041.4241350530524
3005,76.92857142857143,327.6247128949344,,,,,,,,,,141000,135.4613389968872,1040.8873929943957
3017,80.66666666666667,354.2601128050008,,,,,,,6.642744171619415,-0.08054774188203737,399.7088813781738,142000,136.6129069328308,1039.433265773474
3031,75.35714285714286,354.9001156236473,,,,,,,,,,143000,137.54756331443787,1039.6403727857955
3044,73.38461538461539,315.21309052953234,,,,,,,6.634211993217468,-0.07901985126081854,318.5690692901611,144000,138.7111530303955,1038.1284911419168
3058,69.85714285714286,286.14368205944663,,,,,,,,,,145000,139.62992238998413,1038.4593611319021
3072,72.35714285714286,352.9759669895838,,,,,,,6.624595201015472,-0.08413656034972519,360.321923828125,146000,140.7731626033783,1037.1295018166784
3086,74.71428571428571,346.1433545663685,,,,,,,,,,147000,141.6961328983307,1037.4312763036019
3098,77.58333333333333,343.28828695477154,,,,,,,6.62365870475769,-0.08104553997982293,344.1601936340332,148000,142.84214305877686,1036.1087899605425
3112,71.5,305.3728601290971,,,,,,,,,,149000,143.456036567688,1038.6457312285786
3126,74.64285714285714,308.8179504296007,,,,,,,6.617368865013122,-0.0838618570473045,379.91677169799806,150000,144.40163850784302,1038.7693765112847
3140,73.78571428571429,340.36616217043314,462.47751387729033,75.5,422.05528854564864,390.4710553353073,25.85727036997069,150000.0,,,,151000,145.8410747051239,1035.3736099744665
3152,76.91666666666667,334.4483431215427,,,,,,,6.606471002101898,-0.0777831285726279,409.69765396118163,152000,146.9868621826172,1034.1060265042904
3165,81.84615384615384,393.026554275282,,,,,,,,,,153000,147.9204032421112,1034.3400683513191
